"Date","Price","Open","High","Low","Vol.","Change %"
"07/27/2017","1,261.50","1,261.30","1,266.20","1,255.50","2.51K","0.86%"
"07/26/2017","1,250.80","1,250.70","1,264.70","1,244.80","1.51K","-0.22%"
"07/25/2017","1,253.50","1,256.10","1,259.00","1,250.40","1.23K","-0.17%"
"07/24/2017","1,255.60","1,256.00","1,259.60","1,253.10","1.20K","-0.03%"
"07/21/2017","1,256.00","1,245.00","1,256.30","1,244.40","0.33K","0.74%"
"07/20/2017","1,246.80","1,242.10","1,248.20","1,236.00","0.46K","0.27%"
"07/19/2017","1,243.40","1,243.40","1,244.40","1,237.50","0.35K","0.00%"
"07/18/2017","1,243.40","1,235.50","1,245.10","1,234.80","0.87K","0.66%"
"07/17/2017","1,235.30","1,230.60","1,236.80","1,230.60","0.61K","0.50%"
"07/14/2017","1,229.10","1,218.40","1,234.00","1,216.80","0.34K","0.84%"
"07/13/2017","1,218.90","1,219.80","1,224.60","1,217.40","0.32K","-0.16%"
"07/12/2017","1,220.80","1,218.70","1,226.00","1,215.80","0.28K","0.36%"
"07/11/2017","1,216.40","1,214.30","1,218.20","1,209.60","0.28K","0.12%"
"07/10/2017","1,214.90","1,212.60","1,216.00","1,205.90","0.39K","0.29%"
"07/07/2017","1,211.40","1,221.70","1,228.90","1,209.80","0.51K","-1.11%"
"07/06/2017","1,225.00","1,228.00","1,229.00","1,224.20","0.14K","0.13%"
"07/05/2017","1,223.40","1,223.00","1,230.00","1,218.30","0.37K","0.14%"
"07/04/2017","1,221.70","1,220.10","1,228.40","1,216.50","366.77K","0.06%"
"07/03/2017","1,221.00","1,244.40","1,244.40","1,220.20","0.24K","-1.86%"
"06/30/2017","1,244.10","1,245.00","1,245.00","1,242.70","0.45K","-0.28%"
"06/29/2017","1,247.60","1,253.90","1,256.50","1,243.50","1.21K","-0.12%"
"06/28/2017","1,249.10","1,247.30","1,255.70","1,246.70","195.07K","0.18%"
"06/27/2017","1,246.90","1,245.20","1,253.80","1,241.80","213.42K","0.04%"
"06/26/2017","1,246.40","1,258.10","1,259.00","1,236.50","227.47K","-0.80%"
"06/23/2017","1,256.40","1,250.90","1,260.00","1,250.60","162.67K","0.56%"
"06/22/2017","1,249.40","1,246.40","1,256.00","1,246.40","187.39K","0.29%"
"06/21/2017","1,245.80","1,243.90","1,248.80","1,241.70","170.46K","0.18%"
"06/20/2017","1,243.50","1,245.40","1,249.40","1,242.40","185.39K","-0.26%"
"06/19/2017","1,246.70","1,255.80","1,257.30","1,244.30","179.65K","-0.78%"
"06/16/2017","1,256.50","1,255.60","1,258.60","1,253.20","149.11K","0.15%"
"06/15/2017","1,254.60","1,262.70","1,268.50","1,252.70","255.15K","-1.67%"
"06/14/2017","1,275.90","1,268.40","1,284.20","1,259.00","348.34K","0.58%"
"06/13/2017","1,268.60","1,267.70","1,271.00","1,260.50","175.60K","-0.02%"
"06/12/2017","1,268.90","1,269.70","1,272.40","1,265.60","173.01K","-0.20%"
"06/09/2017","1,271.40","1,283.50","1,284.60","1,266.70","219.21K","-0.63%"
"06/08/2017","1,279.50","1,289.50","1,291.50","1,273.50","257.44K","-1.06%"
"06/07/2017","1,293.20","1,297.00","1,297.60","1,285.00","218.85K","-0.61%"
"06/06/2017","1,301.10","1,286.40","1,302.10","1,286.30","2.62K","1.15%"
"06/05/2017","1,286.30","1,286.00","1,289.30","1,284.00","0.52K","0.19%"
"06/02/2017","1,283.80","1,272.20","1,285.30","1,265.30","2.53K","0.80%"
"06/01/2017","1,273.60","1,274.80","1,275.20","1,267.50","0.75K","-0.42%"
"05/31/2017","1,279.00","1,268.50","1,280.00","1,266.00","1.32K","0.76%"
"05/30/2017","1,269.30","1,273.70","1,276.80","1,265.50","5.46K","0.28%"
"05/29/2017","1,265.70","1,271.20","1,273.40","1,261.80","286.21K","-0.45%"
"05/26/2017","1,271.40","1,258.60","1,272.70","1,256.20","159.00K","0.92%"
"05/25/2017","1,259.80","1,261.60","1,262.80","1,256.90","63.17K","0.26%"
"05/24/2017","1,256.50","1,253.80","1,262.20","1,250.90","48.74K","-0.19%"
"05/23/2017","1,258.90","1,263.20","1,267.10","1,254.00","54.13K","-0.47%"
"05/22/2017","1,264.80","1,260.00","1,265.80","1,254.80","45.56K","0.64%"
"05/19/2017","1,256.80","1,249.90","1,259.50","1,249.50","24.00K","0.06%"
"05/18/2017","1,256.10","1,264.50","1,268.30","1,249.10","25.73K","-0.47%"
"05/17/2017","1,262.00","1,240.10","1,264.70","1,240.00","24.73K","1.80%"
"05/16/2017","1,239.70","1,234.40","1,242.40","1,233.60","19.19K","0.51%"
"05/15/2017","1,233.40","1,231.30","1,240.60","1,230.30","9.80K","0.19%"
"05/12/2017","1,231.10","1,228.50","1,235.10","1,227.90","22.14K","0.28%"
"05/11/2017","1,227.70","1,221.90","1,231.20","1,221.20","55.14K","0.43%"
"05/10/2017","1,222.40","1,225.30","1,229.00","1,221.00","17.23K","0.23%"
"05/09/2017","1,219.60","1,229.70","1,232.10","1,217.80","21.49K","-0.89%"
"05/08/2017","1,230.60","1,227.90","1,240.20","1,225.50","19.47K","0.02%"
"05/05/2017","1,230.40","1,232.60","1,238.80","1,229.80","25.27K","-0.13%"
"05/04/2017","1,232.00","1,242.20","1,245.00","1,229.30","29.80K","-1.60%"
"05/03/2017","1,252.00","1,260.60","1,260.90","1,240.00","9.16K","-0.67%"
"05/02/2017","1,260.50","1,261.00","1,262.00","1,256.10","8.94K","0.13%"
"05/01/2017","1,258.90","1,273.10","1,275.70","1,258.60","7.67K","-1.01%"
"04/28/2017","1,271.70","1,268.70","1,273.00","1,268.00","6.32K","0.19%"
"04/27/2017","1,269.30","1,274.00","1,274.10","1,265.60","2.46K","0.13%"
"04/26/2017","1,267.60","1,268.50","1,276.00","1,264.30","5.32K","-0.24%"
"04/25/2017","1,270.60","1,281.00","1,282.90","1,266.40","5.26K","-0.54%"
"04/24/2017","1,277.50","1,280.00","1,280.00","1,266.00","302.84K","-0.90%"
"04/21/2017","1,289.10","1,283.30","1,290.10","1,280.00","229.60K","0.41%"
"04/20/2017","1,283.80","1,282.20","1,285.20","1,278.00","245.62K","0.03%"
"04/19/2017","1,283.40","1,291.70","1,292.70","1,275.40","260.70K","-0.83%"
"04/18/2017","1,294.10","1,286.70","1,294.40","1,280.60","280.74K","0.17%"
"04/17/2017","1,291.90","1,292.40","1,297.40","1,283.10","191.67K","0.26%"
"04/13/2017","1,288.50","1,288.30","1,290.70","1,283.80","235.46K","0.81%"
"04/12/2017","1,278.10","1,277.20","1,289.00","1,273.80","251.10K","0.31%"
"04/11/2017","1,274.20","1,256.80","1,277.40","1,254.70","292.14K","1.62%"
"04/10/2017","1,253.90","1,255.60","1,258.90","1,248.20","182.20K","-0.27%"
"04/07/2017","1,257.30","1,253.90","1,273.30","1,252.40","375.41K","0.32%"
"04/06/2017","1,253.30","1,257.60","1,260.90","1,251.30","165.26K","0.38%"
"04/05/2017","1,248.50","1,258.20","1,259.30","1,245.40","236.74K","-0.79%"
"04/04/2017","1,258.40","1,255.50","1,263.70","1,255.50","158.36K","0.35%"
"04/03/2017","1,254.00","1,251.90","1,255.90","1,246.40","142.20K","0.22%"
"03/31/2017","1,251.20","1,244.60","1,252.80","1,241.50","165.21K","0.26%"
"03/30/2017","1,248.00","1,256.10","1,256.50","1,244.20","217.66K","-0.45%"
"03/29/2017","1,253.70","1,250.80","1,254.40","1,246.90","190.68K","-0.15%"
"03/28/2017","1,255.60","1,253.50","1,258.40","1,247.30","243.24K","-0.01%"
"03/27/2017","1,255.70","1,245.50","1,261.00","1,245.50","237.27K","0.58%"
"03/24/2017","1,248.50","1,245.00","1,251.90","1,240.70","207.57K","0.10%"
"03/23/2017","1,247.20","1,248.60","1,253.30","1,242.70","234.77K","-0.20%"
"03/22/2017","1,249.70","1,244.50","1,251.50","1,243.80","216.45K","0.26%"
"03/21/2017","1,246.50","1,234.20","1,247.70","1,226.60","285.63K","1.01%"
"03/20/2017","1,234.00","1,229.00","1,235.50","1,228.80","126.34K","0.31%"
"03/17/2017","1,230.20","1,226.20","1,231.50","1,224.00","153.15K","0.25%"
"03/16/2017","1,227.10","1,219.50","1,234.00","1,218.10","257.89K","2.20%"
"03/15/2017","1,200.70","1,198.70","1,222.00","1,196.80","264.34K","-0.16%"
"03/14/2017","1,202.60","1,203.50","1,207.50","1,196.90","183.72K","-0.04%"
"03/13/2017","1,203.10","1,205.00","1,210.90","1,202.00","173.92K","0.14%"
"03/10/2017","1,201.40","1,200.20","1,206.20","1,194.50","257.84K","-0.15%"
"03/09/2017","1,203.20","1,207.70","1,208.90","1,199.00","233.51K","-0.51%"
"03/08/2017","1,209.40","1,215.60","1,218.50","1,206.40","211.11K","-0.55%"
"03/07/2017","1,216.10","1,225.70","1,227.40","1,214.10","203.71K","-0.77%"
"03/06/2017","1,225.50","1,233.90","1,237.30","1,225.00","156.98K","-0.08%"
"03/03/2017","1,226.50","1,234.80","1,236.70","1,223.00","272.29K","-0.52%"
"03/02/2017","1,232.90","1,249.90","1,250.80","1,231.10","272.76K","-1.37%"
"03/01/2017","1,250.00","1,248.50","1,251.40","1,237.20","318.04K","-0.31%"
"02/28/2017","1,253.90","1,253.30","1,259.30","1,248.20","234.94K","-0.39%"
"02/27/2017","1,258.80","1,258.90","1,264.90","1,251.50","208.49K","0.04%"
"02/24/2017","1,258.30","1,250.60","1,261.20","1,248.80","220.13K","0.55%"
"02/23/2017","1,251.40","1,238.30","1,252.20","1,236.40","264.97K","1.47%"
"02/22/2017","1,233.30","1,236.90","1,241.90","1,231.50","201.34K","-0.45%"
"02/20/2017","1,238.90","1,236.40","1,240.20","1,226.80","259.51K","-0.02%"
"02/17/2017","1,239.10","1,240.80","1,245.10","1,235.30","164.41K","-0.20%"
"02/16/2017","1,241.60","1,234.30","1,243.70","1,233.30","203.79K","0.69%"
"02/15/2017","1,233.10","1,228.60","1,234.90","1,217.50","226.71K","0.63%"
"02/14/2017","1,225.40","1,226.10","1,236.00","1,222.70","233.75K","-0.03%"
"02/13/2017","1,225.80","1,234.20","1,234.40","1,220.30","176.62K","-0.82%"
"02/10/2017","1,235.90","1,229.60","1,238.90","1,222.60","240.05K","-0.07%"
"02/09/2017","1,236.80","1,242.70","1,246.20","1,226.10","246.14K","-0.22%"
"02/08/2017","1,239.50","1,235.20","1,246.60","1,231.30","221.91K","0.28%"
"02/07/2017","1,236.10","1,236.90","1,237.50","1,229.20","202.31K","0.32%"
"02/06/2017","1,232.10","1,221.90","1,237.50","1,220.80","197.32K","0.93%"
"02/03/2017","1,220.80","1,217.80","1,223.20","1,208.30","217.98K","0.11%"
"02/02/2017","1,219.40","1,211.20","1,227.50","1,210.20","232.06K","0.92%"
"02/01/2017","1,208.30","1,212.20","1,215.00","1,199.70","217.09K","-0.26%"
"01/31/2017","1,211.40","1,197.70","1,217.40","1,195.60","246.90K","1.29%"
"01/30/2017","1,196.00","1,194.60","1,201.30","1,190.00","191.77K","0.64%"
"01/27/2017","1,188.40","1,188.50","1,191.00","1,179.70","234.35K","-0.12%"
"01/26/2017","1,189.80","1,200.70","1,202.30","1,183.90","244.31K","-0.67%"
"01/25/2017","1,197.80","1,208.60","1,209.30","1,192.60","299.18K","-1.07%"
"01/24/2017","1,210.80","1,218.00","1,220.10","1,206.20","216.01K","-0.39%"
"01/23/2017","1,215.60","1,209.30","1,219.40","1,209.00","237.41K","0.89%"
"01/20/2017","1,204.90","1,204.80","1,214.80","1,198.20","244.34K","0.28%"
"01/19/2017","1,201.50","1,203.10","1,206.40","1,195.40","247.40K","-0.87%"
"01/18/2017","1,212.10","1,216.80","1,217.70","1,201.80","203.65K","-0.07%"
"01/16/2017","1,212.90","1,199.40","1,218.90","1,198.00","381.42K","1.40%"
"01/13/2017","1,196.20","1,194.80","1,201.80","1,187.50","288.62K","-0.30%"
"01/12/2017","1,199.80","1,191.10","1,207.20","1,190.70","269.32K","0.27%"
"01/11/2017","1,196.60","1,188.10","1,198.50","1,177.00","328.69K","0.94%"
"01/10/2017","1,185.50","1,181.30","1,190.60","1,180.20","224.81K","0.05%"
